Depth_meter,Area_meterSquared
0,48799505.92
2.53,47186592.27
5.06,46090358.99
7.59,45027641.43
10.12,43913671.72
12.66,42751140.91
15.19,41524147.38
17.72,40258745.31
20.25,38966188.17
22.78,37529170.92
25.31,36027446.3
27.84,34448048.38
30.37,32830731.22
32.9,31022961.56
35.43,29242713.93
37.97,27465401.99
40.5,25690414.14
43.03,23934141.26
45.56,22163801.57
48.09,20433827.54
50.62,18681101.95
53.15,16818165.9
55.68,14846120.26
58.21,12792120.12
60.74,10744969.9
63.28,8974385.57
65.81,7276826.38
68.34,5230532.41
70.87,2587560.69
73.4,61649.36
