"GCM"	"Year"	"Strat.dur"	"Temp_K"	"Model"	"Scenario"	"Lake"
"gfdl-esm4"	2015	196	300.506679457061	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2016	217	299.949478360365	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2017	210	299.999297078451	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2018	197	300.108507650153	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2019	174	300.219568712958	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2020	206	300.323475809931	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2021	165	300.135582201409	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2022	207	300.26048993834	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2023	219	300.377015832352	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2024	208	300.465381328876	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2025	208	300.429888945359	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2026	188	300.513965363198	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2027	207	300.147857666016	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2028	208	300.24377324031	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2029	365	300.044683252622	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2030	224	300.13249710628	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2031	206	300.244291435168	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2032	217	300.081676008515	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2033	365	300.203786771591	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2034	221	300.294438426851	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2035	205	300.411450939644	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2036	210	300.505423264276	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2037	208	300.520603766808	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2038	206	300.662356478497	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2039	204	300.544975879146	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2040	147	300.702570493529	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2041	223	300.441943523595	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2042	212	300.515645009167	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2043	184	300.595254980999	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2044	184	300.455682174019	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2045	191	300.556500020452	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2046	193	300.650351726947	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2047	215	300.500250102198	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2048	205	300.535481076124	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2049	192	300.422455151876	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2050	199	300.51718814409	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2051	201	300.543003366954	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2052	183	300.63005007551	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2053	150	300.42542175293	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2054	205	300.127512266578	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2055	210	300.204839797247	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2056	211	300.303902720953	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2057	168	300.395404815674	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2058	195	300.488765149239	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2059	207	300.643467852459	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2060	210	300.518978009905	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2061	159	300.620822162748	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2062	161	300.657387301048	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2063	187	300.747193525182	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2064	174	300.674403223498	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2065	197	300.813359294446	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2066	203	300.587484726178	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2067	173	300.284679964099	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2068	366	300.344048922179	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2069	253	300.455989189299	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2070	207	300.551519421564	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2071	165	300.319477982955	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2072	181	300.479217697902	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2073	197	300.530057335868	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2074	219	300.677940473165	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2075	174	300.474299639121	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2076	204	300.495115841136	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2077	209	300.580149673389	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2078	187	300.540912485378	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2079	231	300.128065497328	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2080	166	300.217089733446	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2081	206	300.314706746814	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2082	221	300.438997018391	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2083	205	300.537679532679	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2084	203	300.537973187827	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2085	160	300.466590690613	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2086	216	300.403572506375	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2087	171	300.527807224564	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2088	227	300.359308721736	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2089	187	300.515721448603	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2090	203	300.634509908742	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2091	214	300.501670480889	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2092	210	300.631794956752	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2093	205	300.536880567597	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2094	182	300.669728708791	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2095	189	300.482394748264	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2096	181	300.501936433065	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2097	214	300.380025703216	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2098	207	300.492261656241	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2099	195	300.606931559245	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2100	154	300.204874608424	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2015	218	300.135022924581	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2016	208	300.230386147132	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2017	246	300.140541634909	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2018	215	300.223460636583	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2019	191	300.333959769204	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2020	230	300.0206326692	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2021	220	300.014337713068	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2022	204	300.116553512274	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2023	211	300.097090156157	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2024	181	300.171092165109	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2025	209	300.133270555706	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2026	194	299.89069563089	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2027	221	299.823319240933	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2028	200	299.968452758789	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2029	263	299.832920901222	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2030	176	299.971185857599	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2031	229	299.959568073656	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2032	365	299.838483000455	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2033	187	299.920343735639	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2034	223	299.878955379195	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2035	229	299.99023730682	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2036	209	300.064406837573	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2037	163	299.855286393429	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2038	227	299.646541376996	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2039	240	299.759754562378	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2040	220	299.840367542614	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2041	216	299.947696261936	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2042	230	299.869337529721	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2043	220	299.96535616788	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2044	208	299.828642331637	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2045	196	299.91520613067	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2046	221	299.929614313048	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2047	168	299.958922976539	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2048	227	299.855716117153	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2049	186	299.943636822444	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2050	200	300.038454437256	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2051	190	299.842209344161	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2052	207	299.945126888257	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2053	214	300.031532644111	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2054	203	300.132272203568	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2055	196	299.874602025869	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2056	179	299.818681429218	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2057	160	300.007049942017	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2058	197	299.963240105489	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2059	227	300.070503402912	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2060	366	300.172863486035	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2061	209	300.223614998411	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2062	217	300.132941039477	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2063	206	300.278393939861	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2064	210	300.248278081985	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2065	218	300.462565570796	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2066	205	300.520220798399	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2067	365	300.240813874545	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2068	191	300.301992845785	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2069	219	299.904784180802	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2070	206	299.936057525931	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2071	211	299.938549312935	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2072	183	300.046623355053	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2073	174	299.894568783113	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2074	190	299.992894704718	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2075	232	299.959829790839	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2076	209	300.050302313846	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2077	218	300.145844065815	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2078	203	300.084578189944	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2079	220	299.947964754972	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2080	179	299.985315759755	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2081	214	300.03792350983	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2082	246	299.940413188159	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2083	173	300.010377564182	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2084	221	299.815650767331	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2085	224	299.844866480146	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2086	199	300.019862342719	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2087	208	300.058081553533	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2088	206	300.160762897973	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2089	215	300.043573991642	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2090	200	300.193606414795	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2091	207	300.273844401042	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2092	211	300.352023445599	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2093	176	300.185555544766	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2094	202	300.032136671614	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2095	212	299.755192738659	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2096	220	299.822716452859	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2097	191	299.915358298736	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2098	226	300.004342948441	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2099	209	300.092591792202	"flake-ler"	"picontrol"	"bosumtwi"
"ipsl-cm6a-lr"	2100	199	300.134427784675	"flake-ler"	"picontrol"	"bosumtwi"
"gfdl-esm4"	2015	188	299.942428913522	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2016	213	299.485539969144	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2017	213	299.489445646044	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2018	178	299.647463680653	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2019	205	299.795981951458	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2020	207	299.95249047026	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2021	209	300.087883470161	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2022	227	299.431919719679	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2023	209	299.397937683398	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2024	180	299.536668904622	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2025	213	299.681915713028	"flake-ler"	"ssp126"	"bosumtwi"
"gfdl-esm4"	2026	218	299.898224576898	"flake-ler"	"ssp126"	"bosumtwi"
